location,lat,lon,safety,sanitation,peace_quiet,appearance,children_friendly,greenery,walking_condition,restaurants,coffee,nightlife,dog_friendly,construction
84,37.77549,-122.5023,1,1,1,0,1,0,1,1,0,0,1,1
85,37.7757,-122.49753,1,1,1,0,1,0,1,1,1,0,1,1
86,37.77594,-122.49231,1,1,1,0,1,1,1,1,0,0,1,0
87,37.77982,-122.48926,1,1,1,0,1,0,1,1,0,0,1,0
88,37.78196,-122.48588,1,1,1,0,1,0,1,1,1,1,1,0
89,37.78583,-122.48215,1,1,1,1,1,1,1,0,1,0,1,0
90,37.78621,-122.47503,1,1,1,0,1,1,1,0,0,0,1,0
91,37.78647,-122.46926,1,1,1,1,1,1,1,0,0,0,1,0
92,37.78683,-122.46122,1,1,1,1,1,0,1,0,0,0,1,0
93,37.78561,-122.45592,1,1,1,1,1,1,1,1,1,0,1,0
94,37.78146,-122.45474,1,1,0,0,1,0,1,1,1,0,1,0
95,37.78084,-122.4492,1,1,1,0,0,0,1,1,1,0,1,0
96,37.77817,-122.44698,1,1,1,1,1,0,1,1,1,1,1,1
97,37.77262,-122.44586,1,1,1,1,1,1,1,1,1,0,1,0
98,37.77065,-122.44544,0,0,1,0,0,1,1,1,1,1,1,0
99,37.77267,-122.44121,1,1,1,1,1,1,1,1,1,0,1,0
100,37.77321,-122.43686,1,1,1,0,1,0,1,1,1,0,1,0
101,37.77506,-122.43611,1,1,1,1,1,1,1,0,0,0,1,0
102,37.77894,-122.4369,1,1,1,0,1,1,1,0,0,0,1,1
103,37.7816,-122.43744,1,1,1,0,1,1,1,0,0,0,1,0
104,37.78587,-122.4383,1,1,1,0,1,0,1,0,0,0,1,0
105,37.78704,-122.43336,1,1,1,1,1,0,1,1,1,1,1,0
106,37.78875,-122.43044,1,1,1,0,1,0,1,0,0,0,1,0
107,37.79121,-122.43113,1,1,1,1,1,0,1,0,0,0,1,0
108,37.79536,-122.43177,1,1,1,1,1,0,1,0,0,0,1,0
109,37.79526,-122.43488,1,1,1,1,1,0,1,1,1,1,1,0
110,37.79867,-122.43582,1,1,0,0,1,0,1,1,1,1,1,0
111,37.79999,-122.43451,1,1,0,0,0,0,1,1,1,0,1,0
112,37.80078,-122.42829,1,1,0,0,1,0,1,0,0,0,1,0
113,37.80121,-122.42513,1,1,0,0,1,0,1,1,1,0,1,0
114,37.80223,-122.42136,1,1,1,1,1,0,1,0,0,0,1,0
115,37.80145,-122.41676,1,1,0,1,0,0,1,1,1,1,1,0
116,37.80298,-122.41406,1,1,0,0,0,0,1,1,1,1,1,0
117,37.8007,-122.416,1,1,1,0,0,0,0,0,0,0,1,0
118,37.79759,-122.41669,1,1,1,0,1,0,1,0,0,0,1,0
119,37.79506,-122.41655,1,1,1,0,1,0,1,1,1,1,1,0
120,37.79227,-122.41597,1,1,1,0,1,0,1,1,1,1,1,0
121,37.79125,-122.41746,1,1,0,0,1,0,1,1,1,1,1,0
122,37.78919,-122.41648,1,1,1,0,0,0,1,1,1,1,1,0
123,37.78931,-122.41032,1,1,0,0,0,0,1,1,1,1,1,0
124,37.78886,-122.41158,1,1,0,0,0,0,1,1,1,1,1,0
125,37.78836,-122.41549,1,1,0,0,0,0,1,1,1,1,1,0
126,37.78649,-122.4165,0,0,0,0,0,0,1,1,1,1,1,0
127,37.7849,-122.41618,0,0,0,0,0,0,1,1,1,1,1,0
128,37.78281,-122.41575,0,0,0,0,0,0,1,1,1,1,1,0
129,37.78223,-122.41844,0,1,0,0,0,0,1,1,1,1,1,0
130,37.78058,-122.41867,0,1,0,1,0,1,1,1,1,1,1,0
131,37.77876,-122.41991,0,1,0,1,0,0,1,1,1,1,1,1
132,37.78281,-122.42149,1,1,0,0,0,0,1,1,1,0,1,0
133,37.78879,-122.42195,1,1,0,0,0,0,1,0,1,0,1,0
134,37.79307,-122.42248,1,1,0,0,0,0,1,1,1,1,1,1
135,37.79415,-122.41804,1,1,1,0,1,0,1,1,1,1,1,0
136,37.78124,-122.392553,1,1,0,1,1,0,1,1,1,1,1,0
137,37.79155,-122.401812,1,0,0,0,0,0,1,1,1,1,0,0
138,37.79683,-122.398901,1,1,1,1,1,1,1,1,0,1,1,0
