City,State,ZIP,ZillowID,latitude,lontitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age
San Francisco,CA,94109,2105190739,37.803676,-122.423127,,2200,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,89238348,37.787807,-122.428291,934,899000,994260,4000,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566246,37.788107,-122.423346,699,960000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15069101,37.789945,-122.412735,802,775000,769986,3800,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094773735,37.78927,-122.42121,1398,1759500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094773736,37.78927,-122.42121,742,1019500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2100953629,37.787477,-122.417094,,2450,1033569,2675,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15076330,37.78675,-122.424235,1316,1250000,1321259,4595,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15064609,37.802352,-122.420572,3111,3150000,3283838,9999,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094779653,37.793501,-122.424856,,2995,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15067485,37.794564,-122.415103,1321,1350000,1414981,4900,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068916,37.790348,-122.412568,450,595000,568823,2700,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094784498,37.788107,-122.423346,2076,4245000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15070872,37.802157,-122.423737,1248,999000,1149322,4600,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094786637,37.78927,-122.42121,423,603500,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094786941,37.790308,-122.412875,,2350,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2094787110,37.791806,-122.415023,,2495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2095478807,37.789458,-122.423562,1485,2675000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15077079,37.78482,-122.423994,840,735000,770094,3400,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15076934,37.784298,-122.427058,1102,949000,1037350,3900,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,63196181,37.793557,-122.414604,,945000,976260,4250,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096831687,37.789026,-122.417722,1600,4495,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,2096566245,37.788107,-122.423346,1076,1405000,,,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,89240546,37.78952,-122.412277,560,3200,597290,3300,66276,13.7,63.2,159.9,36.5
San Francisco,CA,94109,15068820,37.790348,-122.412568,450,550000,558008,2675,66276,13.7,63.2,159.9,36.5
