ZillowID,latitude,longitude,sqft,Price,ZPrice,ZRent,Income,Poverty,Degree,CostofLiving,Age,lat_long,geometry,area,length,po_name,state,zip
2094706179,37.789955,-122.427966,,2995.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.789954999999999, -122.427966)",POINT (-122.427966 37.789955),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
96014269,37.788707,-122.418395,1573.0,7150.0,1763601.0,6500.0,66276.0,13.7,63.2,159.9,36.5,"(37.788707000000002, -122.41839499999999)",POINT (-122.418395 37.788707),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
80731741,37.80551,-122.424157,,799000.0,887515.0,3600.0,66276.0,13.7,63.2,159.9,36.5,"(37.805509999999998, -122.42415700000001)",POINT (-122.424157 37.80551),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2106685063,37.794519,-122.427737,1115.0,6200.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.794519000000001, -122.42773700000001)",POINT (-122.427737 37.794519),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566253,37.788107,-122.423346,699.0,950000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566254,37.788107,-122.423346,699.0,984000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095135131,37.78704,-122.420212,,2095.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.787040000000005, -122.42021200000001)",POINT (-122.420212 37.78704),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094857709,37.790493,-122.415346,325.0,2000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790492999999998, -122.415346)",POINT (-122.415346 37.790493),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094715297,37.788072,-122.415504,575.0,1895.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788072, -122.415504)",POINT (-122.415504 37.788072),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094715751,37.784567,-122.417536,,2700.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.784566999999996, -122.41753600000001)",POINT (-122.417536 37.784567),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718675,37.788758,-122.417232,,2525.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788758000000001, -122.41723200000001)",POINT (-122.417232 37.788758),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718763,37.786776,-122.416269,550.0,2400.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.786776000000003, -122.416269)",POINT (-122.416269 37.786776),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718721,37.788156,-122.419032,,1800.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788156000000001, -122.419032)",POINT (-122.419032 37.788156),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
123598620,37.794658,-122.422325,1626.0,2699999.0,1932838.0,7000.0,66276.0,13.7,63.2,159.9,36.5,"(37.794657999999998, -122.422325)",POINT (-122.422325 37.794658),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095196547,37.792447,-122.418506,,3495.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.792446999999996, -122.41850600000001)",POINT (-122.418506 37.792447),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096656759,37.797373,-122.423358,,2595.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.797373, -122.42335800000001)",POINT (-122.423358 37.797373),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2110517671,37.792901,-122.429118,1000.0,4700.0,1134138.0,4600.0,66276.0,13.7,63.2,159.9,36.5,"(37.792901000000001, -122.42911799999999)",POINT (-122.429118 37.792901),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094706179,37.789955,-122.427966,,2995.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.789954999999999, -122.427966)",POINT (-122.427966 37.789955),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
96014269,37.788707,-122.418395,1573.0,7150.0,1763601.0,6500.0,66276.0,13.7,63.2,159.9,36.5,"(37.788707000000002, -122.41839499999999)",POINT (-122.418395 37.788707),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
80731741,37.80551,-122.424157,,799000.0,887515.0,3600.0,66276.0,13.7,63.2,159.9,36.5,"(37.805509999999998, -122.42415700000001)",POINT (-122.424157 37.80551),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2106685063,37.794519,-122.427737,1115.0,6200.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.794519000000001, -122.42773700000001)",POINT (-122.427737 37.794519),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566254,37.788107,-122.423346,699.0,984000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566253,37.788107,-122.423346,699.0,950000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095135131,37.78704,-122.420212,,2095.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.787040000000005, -122.42021200000001)",POINT (-122.420212 37.78704),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094857709,37.790493,-122.415346,325.0,2000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790492999999998, -122.415346)",POINT (-122.415346 37.790493),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094715297,37.788072,-122.415504,575.0,1895.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788072, -122.415504)",POINT (-122.415504 37.788072),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094715751,37.784567,-122.417536,,2700.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.784566999999996, -122.41753600000001)",POINT (-122.417536 37.784567),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718675,37.788758,-122.417232,,2525.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788758000000001, -122.41723200000001)",POINT (-122.417232 37.788758),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718763,37.786776,-122.416269,550.0,2400.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.786776000000003, -122.416269)",POINT (-122.416269 37.786776),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094718721,37.788156,-122.419032,,1800.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788156000000001, -122.419032)",POINT (-122.419032 37.788156),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
123598620,37.794658,-122.422325,1626.0,2699999.0,1932838.0,7000.0,66276.0,13.7,63.2,159.9,36.5,"(37.794657999999998, -122.422325)",POINT (-122.422325 37.794658),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095196547,37.792447,-122.418506,,3495.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.792446999999996, -122.41850600000001)",POINT (-122.418506 37.792447),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096656759,37.797373,-122.423358,,2595.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.797373, -122.42335800000001)",POINT (-122.423358 37.797373),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2110517671,37.792901,-122.429118,1000.0,4700.0,1134138.0,4600.0,66276.0,13.7,63.2,159.9,36.5,"(37.792901000000001, -122.42911799999999)",POINT (-122.429118 37.792901),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095127787,37.790292,-122.422967,,3645.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790292000000001, -122.42296699999999)",POINT (-122.422967 37.790292),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2103238745,37.78784,-122.417006,,2550.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.787840000000003, -122.417006)",POINT (-122.417006 37.78784),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2103850175,37.791176,-122.417703,715.0,3295.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.791176, -122.417703)",POINT (-122.417703 37.791176),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094730178,37.79197,-122.424349,,2795.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.791969999999999, -122.42434899999999)",POINT (-122.424349 37.79197),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094730176,37.78818,-122.416833,,1995.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788179999999997, -122.41683300000001)",POINT (-122.416833 37.78818),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2116402793,37.78441,-122.422529,,2150.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.784410000000001, -122.422529)",POINT (-122.422529 37.78441),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096183976,37.789458,-122.423562,989.0,1212000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.789458000000003, -122.42356200000002)",POINT (-122.423562 37.789458),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2104060605,37.79148,-122.41785,,2895.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.79148, -122.41785)",POINT (-122.41785 37.79148),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2104991613,37.791884,-122.419955,,3495.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.791884000000003, -122.419955)",POINT (-122.419955 37.791884),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094760152,37.78959,-122.42295,743.0,940000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.789590000000004, -122.42295)",POINT (-122.42295 37.78959),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
63196182,37.793557,-122.414604,,2595000.0,2681181.0,8008.0,66276.0,13.7,63.2,159.9,36.5,"(37.793557, -122.414604)",POINT (-122.414604 37.793557),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095465111,37.787191,-122.417004,,1895.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.787191, -122.41700400000001)",POINT (-122.417004 37.787191),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096368578,37.790292,-122.422967,,3995.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790292000000001, -122.42296699999999)",POINT (-122.422967 37.790292),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2095829160,37.790292,-122.422967,,4895.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790292000000001, -122.42296699999999)",POINT (-122.422967 37.790292),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094750924,37.794016,-122.41662,1225.0,5340.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.794015999999999, -122.41661999999999)",POINT (-122.41662 37.794016),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2103222025,37.787407,-122.417631,480.0,2295.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.787407000000002, -122.417631)",POINT (-122.417631 37.787407),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566250,37.788107,-122.423346,1325.0,1495000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094759969,37.793727,-122.424709,,5600.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.793727000000004, -122.42470900000001)",POINT (-122.424709 37.793727),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2104126894,37.790787,-122.414253,,7200.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.790787000000002, -122.414253)",POINT (-122.414253 37.790787),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2096566251,37.788107,-122.423346,1266.0,1690000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.788107000000004, -122.423346)",POINT (-122.423346 37.788107),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2094763166,37.797235,-122.419504,,4000.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.797235000000001, -122.419504)",POINT (-122.419504 37.797235),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
2100720924,37.792315,-122.423738,,2550.0,,,66276.0,13.7,63.2,159.9,36.5,"(37.792315000000002, -122.42373799999999)",POINT (-122.423738 37.792315),29239810.9534,30323.9485551,SAN FRANCISCO,CA,94109
