CO,DIST,OPERATOR,STATION,geometry,area,length,po_name,state,zip
SF,4,BART,EMBARCADERO,POINT (-122.396033220569 37.79322220278397),12382882.0355,26722.9849804,SAN FRANCISCO,CA,94105
SF,4,BART,MONTGOMERY STREET,POINT (-122.4015398362278 37.78888642284969),12382882.0355,26722.9849804,SAN FRANCISCO,CA,94105
SF,4,BART,POWELL STREET,POINT (-122.4068235887763 37.78476966169613),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
SF,4,BART,CIVIC CENTER/ UN PLAZA,POINT (-122.4141845304435 37.77896496103885),36906106.5495,33638.9331596,SAN FRANCISCO,CA,94103
SF,4,BART,16TH STREET & MISSION,POINT (-122.4194566417886 37.76468721127412),66887406.7173,41644.5510172,SAN FRANCISCO,CA,94110
SF,4,BART,24TH STREET & MISSION,POINT (-122.418304517505 37.75278416743183),66887406.7173,41644.5510172,SAN FRANCISCO,CA,94110
SF,4,BART,GLEN PARK,POINT (-122.4339599538094 37.73313053773822),62041183.5838,57011.7832824,SAN FRANCISCO,CA,94131
SF,4,BART,BALBOA PARK,POINT (-122.4471285869132 37.72160655217209),92226023.9877,57996.3187634,SAN FRANCISCO,CA,94112
