City,State,ZIP,Price,ZPrice,ZRent,RentSqft,Income,Poverty,Degree,CostofLiving
San Francisco,CA,94109,688322.175573,1562441.68924,5447.62948207,144.139006602,66276,13.7,63.2,159.9
San Francisco,CA,94110,796242.019417,1463272.26844,4973.31268437,131.747783086,90364,13.1,53.9,154.4
San Francisco,CA,94122,490975.542857,1336009.44676,4467.06944444,118.305256153,90514,9.7,55.9,155.5
